"Ajar_GrosCalin.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"par" 0.334468407113129 0.307973466901313 0.372246560670044 0.30643212823006 0.463608014861996 0.408271146027229 0.330591026093979 0.39191811574902 0.381483215880667 0.267043669494188
"tout" 0.541808550889141 0.358738324082848 0.381025960685847 0.474380506202304 0.257928609341826 0.413332358581286 0.370968555998587 0.406377230698984 0.225006567450573 0.332495549272175
"comme" 0.378357926598562 0.28935968593475 0.247579080445642 0.321164442087274 0.250464437367304 0.299736254590239 0.613233735426235 0.538031277348655 0.378056719929643 0.418892030579118
"ses" 0.0968596292092319 0.233518343035062 0.249334960448803 0.297592739915731 0.386478237791932 0.345849524527198 0.726795538282946 0.582930634298543 0.320948454079243 0.233008692009635
"a" 0.653802497162316 0.605793962366319 0.245823200442482 0.437549721559268 0.198215233545648 0.324479960410071 0.184222480189774 0.155245234199612 0.528822541774696 0.581212692428527
"y" 0.599318955732123 0.507648571815351 0.291476080524657 0.44933557264504 0.277003715498938 0.37790387070289 0.275071922475143 0.252654008599368 0.212442748963485 0.149230285893811
"nous" 0.233068482784714 0.392581562203872 0.476721420858099 0.269601343587024 0.506734341825902 0.344724810626297 0.0681370817140261 0.20394962139949 0.0925153906776467 0.492198135930464
"dit" 0.270904275444571 0.184445647759578 0.110620440199117 0.343262912873096 0.148454087048832 0.272743120968604 0.199364053904002 0.350062782999125 0.619053601818327 1.0210493245366
"mon" 0.422247446083995 0.49072695275484 0.604900661088821 0.11196558531483 0.66348195329087 0.104598392783836 0.0378539342855701 0.0981697804497546 0.070814249654495 0.130903759555974
"même" 0.437381763147938 0.362122647894951 0.264259940475668 0.335896755944489 0.247147027600849 0.31660696310376 0.270024731237067 0.201666603249496 0.246707708473724 0.240862917582993
"m" 0.451002648505486 0.502572086097198 0.63211680113781 0.106072659771944 0.315983280254777 0.186702507549642 0.0782314641901782 0.142308131349644 0.073098580288511 0.240862917582993
"ils" 0.322360953461975 0.145525923920401 0.138714520249686 0.406611862459118 0.165041135881104 0.385214511058749 0.264977539998991 0.219169742399452 0.317521958128219 0.46078123363703
