"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Drummond_2" 1.3416108254673 0.95548257770378 1.0287816939037 1.16403233744538 1.21339165615411 1.05169677211358 0.959924674400739 1.06550105544703 0.960816584827237 0.542936332772138 0 1.18978201633727 0.9628493627391 1.08254989469638 0.983502115648789 1.08716415477198 1.09690125706453 1.07441582093983 1.07203648068222 1.16713137450358 1.02212314614762 1.13012870624634 1.26470968607376 1.0497115474618
"Espanca" 1.28765147104406 1.01070743849399 1.27465030331537 1.17463096948184 1.28387880624419 1.16176075819574 1.07645715735563 1.12070532186544 1.10200329160808 1.19129470610405 1.18978201633727 0 1.23960950977149 1.34801612829363 1.35141458765908 1.3149083762217 1.22683036941302 0.980554957009734 1.10833746272254 1.19711905731525 0.993901976203071 1.18927200943105 1.20456619654462 1.30702353712882
"Feijó" 1.12846195123628 0.895765242600873 0.837197306886265 1.22248337125588 1.30305940060341 1.23691586803098 1.13674826465576 1.25244840683724 1.15344129796011 0.947734583267323 0.9628493627391 1.23960950977149 0 0.957245806153324 0.992057163540314 0.928775686464413 0.96827129195845 1.09755968883075 0.987983595667219 1.28677642079417 1.13612736143692 1.24494411310992 1.28293503115646 1.15496772241603
"Junqueiro_1" 0.944845303743224 0.801782916079435 0.734511064852317 1.29351334083036 1.45425685626749 1.20634782657864 1.12711333307117 1.27165389768106 1.21403945651905 1.15434214874897 1.08254989469638 1.34801612829363 0.957245806153324 0 0.569998928413984 0.793291211026163 0.886542128654604 1.12329183190516 0.858826669942815 1.48532272365645 1.25642172614538 1.36691434374267 1.43878694470252 1.17657286775635
"Junqueiro_2" 1.12104735536442 0.904631142028338 0.804745013402465 1.21008057594833 1.31896694358786 1.10834558117832 1.06940906921691 1.1895375334307 1.07404910218214 1.05435292994149 0.983502115648789 1.35141458765908 0.992057163540314 0.569998928413984 0 0.840934683016622 0.854566727226112 1.05229717301852 0.78746303828435 1.41294701415913 1.15913164216041 1.30328916080098 1.35714930378323 1.14798710830987
"Leal_1" 1.0046046911365 0.837599459732733 0.744309033755783 1.34270318367342 1.4094862816989 1.29455067838248 1.06492332408911 1.38816940556129 1.21050927030708 1.20698883843514 1.08716415477198 1.3149083762217 0.928775686464413 0.793291211026163 0.840934683016622 0 0.552410148744495 1.00522281482483 0.914738912519765 1.50389945107814 1.30924462184054 1.40581182531992 1.47582399502129 1.13092545607126
"Leal_2" 1.04197299364896 0.875070827485515 0.837965319348691 1.25439791592191 1.35676097185816 1.30712287999314 1.05997538455359 1.38062579137607 1.26269655265793 1.13797643668648 1.09690125706453 1.22683036941302 0.96827129195845 0.886542128654604 0.854566727226112 0.552410148744495 0 0.866671594141524 0.760583566616776 1.40212251553298 1.28615766050765 1.32978538718137 1.37074628196045 1.12885621609256
"Nobre_1" 1.23121299588352 0.948813923232391 1.06888598009251 1.15649025409771 1.32341144314915 1.16571431435036 1.01862197614696 1.12486476648423 1.13526656275602 1.097366440696 1.07441582093983 0.980554957009734 1.09755968883075 1.12329183190516 1.05229717301852 1.00522281482483 0.866671594141524 0 0.617203075004325 1.25075353500721 1.10778477927881 1.16985598494825 1.25378792717264 1.19188585935379
"Nobre_2" 1.05275664906519 0.881045680414816 0.848308075766347 1.11591404964532 1.28216010613984 1.11430437041381 1.00150174673076 1.1134111442204 1.03725591295082 1.04515289988947 1.07203648068222 1.10833746272254 0.987983595667219 0.858826669942815 0.78746303828435 0.914738912519765 0.760583566616776 0.617203075004325 0 1.2848471846391 1.10190131159271 1.20171999201994 1.2647827177693 1.09768663628904
"Pessoa_1" 1.61187892694324 1.27942417449097 1.40869761427923 1.05858004851329 1.13751937716598 1.0774624923203 1.21787512532763 1.05991322383486 1.02854557650608 1.18940015558797 1.16713137450358 1.19711905731525 1.28677642079417 1.48532272365645 1.41294701415913 1.50389945107814 1.40212251553298 1.25075353500721 1.2848471846391 0 0.599412386865036 0.515987768216655 0.548051972963525 1.118827492779
"Pessoa_2" 1.43096272051458 1.09151636503486 1.19582968398187 0.909412928554299 1.01136196519144 0.852552734167534 1.02455991780284 0.870776250510417 0.943241399125788 1.10381468931982 1.02212314614762 0.993901976203071 1.13612736143692 1.25642172614538 1.15913164216041 1.30924462184054 1.28615766050765 1.10778477927881 1.10190131159271 0.599412386865036 0 0.62035204237203 0.60822209824175 1.01927664578547
"Pessoa_3" 1.52296967641435 1.22036039452914 1.31007932997735 1.00811148461645 1.18828322532211 0.978995631650095 1.11900984838274 0.993748384599503 1.02899687490956 1.20302113613671 1.13012870624634 1.18927200943105 1.24494411310992 1.36691434374267 1.30328916080098 1.40581182531992 1.32978538718137 1.16985598494825 1.20171999201994 0.515987768216655 0.62035204237203 0 0.588020801473889 1.05482390624669
"Pessoa_4" 1.59281451825155 1.32339414303527 1.40029052828509 1.00162134233251 1.1591339602948 1.0584969700225 1.18906521689063 1.06152362960826 1.0576967547432 1.25771676095295 1.26470968607376 1.20456619654462 1.28293503115646 1.43878694470252 1.35714930378323 1.47582399502129 1.37074628196045 1.25378792717264 1.2647827177693 0.548051972963525 0.60822209824175 0.588020801473889 0 1.16602496139737
"Reis_1" 1.3434260159084 1.20645778679471 1.11182434840713 1.04990130118231 1.07395613920144 1.04657741149152 1.08369303300875 1.0705830627304 1.02599805332019 1.05592320954308 1.0497115474618 1.30702353712882 1.15496772241603 1.17657286775635 1.14798710830987 1.13092545607126 1.12885621609256 1.19188585935379 1.09768663628904 1.118827492779 1.01927664578547 1.05482390624669 1.16602496139737 0
