"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"Drummond_2" 1.34777827284999 1.0056504369804 1.03352827028036 1.20715449534393 1.24119698396238 1.22253819741479 0.929836536057262 0.982189833413791 1.04566636291846 1.03156802562568 0.52670887879448 0 1.17563494188545 0.959500778726733 1.07002516318292 0.950153771013545 1.09269094298973 1.09025292005846 1.0640437664622 1.06185757787939 1.09107954880083 1.17021203557309 1.16391481861635 1.12435316384076 1.24487558877945 1.15279593123279 1.01516880602386 1.01734241918115
"Espanca" 1.26403933517195 1.01951716539924 1.24132234072007 1.27282902216909 1.27948847799379 1.21836087148861 0.982717495825983 1.09383559304742 1.14692877817727 1.07799585456084 1.17370612026195 1.17563494188545 0 1.20682107335076 1.32104052376768 1.28369990581447 1.28461458451485 1.16721635545976 0.929151828222192 1.01624641384529 0.916700548378024 1.16528778235426 0.942972119683431 1.05620986341621 1.17958589892976 1.07222861777054 1.22993587355856 1.22321131630976
"Feijó" 1.09103345140875 0.894216090139505 0.846228576428164 1.30158750835073 1.31921619165335 1.31645783877965 1.13808945371194 1.17005395068527 1.21767638668419 1.22193466616543 0.914899517286827 0.959500778726733 1.20682107335076 0 0.9321278237521 0.973743398614037 0.930489954931848 0.978525686309624 1.09710474938036 0.996975010774698 0.935525335468302 1.26196488805276 1.26991297666462 1.2440423371638 1.35013934222274 1.25904833193123 1.10046492944067 1.12482241102002
"Junqueiro_1" 0.895163667850775 0.802923331670778 0.704207229827392 1.4208433799814 1.43297086933966 1.42350550040935 1.12198276581262 1.16785496886 1.19378970704948 1.28031268995936 1.10684856149627 1.07002516318292 1.32104052376768 0.9321278237521 0 0.524995903388167 0.725256532938354 0.88187808359269 1.09851239117039 0.869281914619695 1.00666409681587 1.43542245250535 1.41859555072695 1.39840123483327 1.46924356187381 1.41505847812877 1.13295845370984 1.15103319152035
"Junqueiro_2" 1.03462945972556 0.864630153538833 0.787831663146595 1.37612600272755 1.37946130391256 1.34845283914136 1.02968881756704 1.08297147394581 1.10911901608595 1.15130709247023 0.999813536602258 0.950153771013545 1.28369990581447 0.973743398614037 0.524995903388167 0 0.763093638668652 0.802884146047329 1.02260375278767 0.794901127380005 1.00122234746746 1.31744725408695 1.27762802135147 1.26216804100247 1.36528151481559 1.27626230041791 1.07865335782871 1.06221609920442
"Leal_1" 0.928064559486823 0.807727582340302 0.742413241024288 1.47342984579436 1.4305285117228 1.41472192745028 1.17052872042217 1.10792651972454 1.21330074277347 1.36938615657403 1.1973956529524 1.09269094298973 1.28461458451485 0.930489954931848 0.725256532938354 0.763093638668652 0 0.535095417844336 0.980818055635406 0.897318054093576 0.958669236906355 1.4677502525492 1.39034893296796 1.40082624472413 1.52231221657031 1.41747704421963 1.09413378069096 1.09927396719758
"Leal_2" 0.989282383238327 0.868267925456865 0.842576084810351 1.46215203143438 1.43451332512396 1.36907940417489 1.17325757270949 1.12225177283881 1.19914460852954 1.37116014616924 1.12152353062117 1.09025292005846 1.16721635545976 0.978525686309624 0.88187808359269 0.802884146047329 0.535095417844336 0 0.838714226739065 0.768708016949011 0.940043275171918 1.39327808104801 1.34754824637275 1.36665527584663 1.47212927416887 1.37655306992456 1.12085973929638 1.12386120875603
"Nobre_1" 1.18796458444492 0.944680781929294 1.05127632867274 1.28420139342269 1.31381719181787 1.24295223522322 1.00328107348752 1.02686483035104 1.11521322421027 1.15971487634002 1.07949499417815 1.0640437664622 0.929151828222192 1.09710474938036 1.09851239117039 1.02260375278767 0.980818055635406 0.838714226739065 0 0.632262345970777 0.986250670878317 1.21553710728289 1.14086490937889 1.14431670507048 1.26810240605695 1.16540890451062 1.16442778802118 1.13193440281106
"Nobre_2" 1.00864439806827 0.832446877852449 0.842601498098038 1.23542956626962 1.24823453389054 1.19734489495878 1.02834740111487 1.01999864890087 1.09004428043338 1.14331041793533 1.05542000589833 1.06185757787939 1.01624641384529 0.996975010774698 0.869281914619695 0.794901127380005 0.897318054093576 0.768708016949011 0.632262345970777 0 0.922520275552234 1.2375662518269 1.10285162668966 1.15254762069877 1.23226490526051 1.17450715392096 1.09022209427119 1.06819657978709
"Pascoaes" 0.950582397217389 0.844374328692781 0.914135696568292 1.49407205154258 1.47710354763759 1.46723226600393 1.15712492537047 1.16025396564513 1.28456294704604 1.31447240153 1.0581053719199 1.09107954880083 0.916700548378024 0.935525335468302 1.00666409681587 1.00122234746746 0.958669236906355 0.940043275171918 0.986250670878317 0.922520275552234 0 1.32749183466266 1.2089691866572 1.28646121688064 1.37463387502936 1.2946320225191 1.27129879008616 1.26846701380589
