"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"no" 0.680020696282061 0.550964187327824 0.71130733382389 0.557413600891862 0.543042270904042 0.592908810624926 0.644042017206141 0.661723670573228 0.608637652159413 0.602766798418972 1.13722517058378 1.19150571730566 0.433596755017833 0.951604132680805 0.513259195893926 0.487234457220815 0.695664909197422 0.721469173589856 0.667693888032871 0.516228238783019 0.704542047669015 0.871891409888041 0.528893241919687 0.733834373227453 0.612466660081004 0.720200403590564 0.591397849462366 0.631874561198221
"uma" 0.229137408529825 0.545562577648139 0.363829613277737 1.05112279025322 1.0552298673249 0.901221392149887 0.663054327677171 0.613888224507694 0.692012673003168 0.701581027667984 0.671504386439944 0.643797444028058 0.39862927477446 0.570962479608483 0.778443113772455 0.711362307542389 0.530902167545401 0.562964582422387 0.558551617873652 0.774342358174529 0.292309998500974 0.544932131180026 0.607247796278159 0.641661939875213 0.671737627185617 0.593208544986431 0.19489247311828 0.21842577424136
"na" 0.569147756670855 0.318694971101388 0.572316245605429 0.41407867494824 0.413452638074668 0.379461638799953 0.598887779837445 0.621860798851949 0.641987660496915 0.642292490118577 0.736488681901874 0.912847122129336 0.412616266871809 0.806597788653254 0.530367835757057 0.623660105242643 0.637082601054482 0.475513773502405 0.513610683102208 0.653522983140205 0.809473842002698 0.723273555929852 0.646425073457395 0.632799205899036 0.484046231354342 0.641917751026373 0.725806451612903 0.717684686793042
"ao" 0.672629166974647 0.648193161562146 0.813506663396288 0.31055900621118 0.308546744831842 0.326099845843709 0.49432007224678 0.613888224507694 0.458562614640654 0.474308300395257 0.227445034116755 0.413183434226963 0.538499195747954 0.634402755120537 0.898203592814371 0.487234457220815 0.651728178090217 0.508307826847398 0.603492552645095 0.713932670657367 0.569629740668565 0.346774992569107 0.430950048971596 0.420093590470788 0.414896769732293 0.420986709345209 0.490591397849462 0.460254310008581
"por" 0.768719047971025 0.334899800140442 0.22075055187638 0.788342092689919 0.765195927182968 0.758923277599905 0.758115880032321 0.685641393605995 0.983825245956311 0.760869565217391 0.205783602296112 0.317094263476506 0.38464228267711 0.199383723037883 0.367835757057314 0.399532254921068 0.292911540714704 0.338871884564932 0.507190549563431 0.444834971717283 0.247339229500824 0.396314277221837 0.705190989226249 0.485677821894498 0.533438703941519 0.492310903903695 0.470430107526882 0.499258912551681
"meu" 0.347401877448444 0.232269216226435 0.11037527593819 0.342411211976429 0.259179265658747 0.314241669631211 0.47530776177575 0.446464163278323 0.508587627146907 0.494071146245059 0.357413625040615 0.249831843951187 0.874187006084342 0.335327170563712 0.171086398631309 0.126680958877412 0.150117164616286 0.344337560122431 0.654853620955316 0.642539403591631 0.891920251836306 0.733181412860398 0.842311459353575 0.804736245036869 0.780401066877408 0.788045369146197 0.161290322580645 0.1950230127155
"para" 0.221745879222411 0.183654729109275 0.183958793230316 1.05112279025322 0.95649490897871 1.00201588995612 0.841294738343077 0.693613967950251 0.80040020010005 1.03754940711462 0.758150113722517 0.230614009801095 0.25176585775229 0.244698205546493 0.513259195893926 0.60417072695381 0.248974809607499 0.174901617839965 0.365947611710324 0.477785710363007 0.277319742167591 0.356682849499653 0.381978452497551 0.402368122518435 0.365504297145115 0.417507480342356 0.530913978494624 0.600670879163741
"com" 0.480449404981891 0.275482093663912 0.404709345106696 0.565376652333174 0.444307312557852 0.586979722518677 0.712961642663625 0.757394562704297 0.742037685509421 0.652173913043478 0.368244340950937 0.201787258575959 0.188824393314218 0.398767446075766 0.513259195893926 0.711362307542389 0.41373755125952 0.344337560122431 0.61633281972265 0.593113295623044 0.284814870334283 0.396314277221837 0.470127326150833 0.436046511627907 0.444532253284599 0.4401224688609 0.497311827956989 0.577268117637881
"mas" 0.14043905684086 0.286285313023281 0.327037854631674 0.772415989807294 0.8207343412527 0.735206925174908 0.406388136318266 0.31890297377023 0.341837585459396 0.592885375494071 0.888118704646377 0.586143941577784 0.167843905168194 0.679717237629146 0.18819503849444 0.194893782888326 0.263620386643234 0.306077831219939 0.481510015408321 0.532703608105882 0.284814870334283 0.475577132666204 0.509304603330069 0.542399319342031 0.563074187493826 0.537540880940784 0.369623655913978 0.358842343396521
"mais" 0.317835760218789 0.351104629179495 0.519172594227782 0.549450549450549 0.610922554767047 0.539547017668683 0.36123389894957 0.294985250737463 0.391862597965649 0.464426877470356 0.509043647785119 0.432401268377054 0.482551227358557 0.453144825086097 0.290846877673225 0.331319430910154 0.457674282366725 0.69960647135986 0.552131484334874 0.565654346751606 0.337280767501124 0.237788566333102 0.244857982370225 0.296015314804311 0.256840857453324 0.311390995755341 0.745967741935484 0.748888368827522
