"Arriaga" "Assis_1" "Assis_2" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis"
"da" 1.37017070979335 1.20952223871571 1.33642269022301 0.613765892152565 0.857950667836599 0.610578629747959 1.07300073367572 1.42645907628077 0.725213590303994 1.22610757149207 0.758708534086504 0.775295663600526 0.774580200147001 1.24327192782958 0.837795819657972 0.681772608782835 0.797052409955636 0.71992800719928 0.829834033193361 0.764168190127971
"os" 1.05570530098832 0.841167738743196 1.32814762712566 0.822007891275756 1.19918104708979 0.922967696130635 0.687820983125459 1.14812559798208 1.03318100536459 1.40761594310268 1.56725923464584 0.886990801576872 1.07988918414655 0.659540595860814 0.525133874589739 0.481251253258472 0.503797277990826 0.47995200479952 0.449910017996401 1.24680073126143
"se" 0.688828990715783 0.65973940293584 0.753030741859407 1.11793073213503 1.27717656234766 0.653177138800142 1.11885546588408 0.400104375054362 0.218557520365587 0.31115720847533 0.415351387273634 0.565045992115637 0.491886696443716 0.682283375028429 0.974261530488858 1.09284138760778 1.06210993307768 1.1998800119988 0.999800039992002 0.954296160877514
"as" 0.868523510032944 0.918137335752378 0.939219661549919 0.548005260850504 0.69221019791362 0.731274405395811 0.752017608217168 0.74802122292772 0.824557917742897 1.30389687361091 1.25159218031788 0.795006570302234 0.921580822072709 0.841482829201728 0.49231300742788 0.511329456587126 0.494398075043236 0.48995100489951 0.549890021995601 0.851919561243144
"como" 0.613956274333633 0.599263291000055 0.662005047788489 0.449364313897413 0.399727015696597 0.816471423500178 1.10968451944241 0.87849004088023 0.665606993840652 1.02237368499037 0.90269701500803 0.519053876478318 0.621925708147227 0.401789098627852 0.734150975988945 0.912372167635853 0.744416873449132 0.58994100589941 0.519896020795841 0.669104204753199
"no" 0.681341719077568 0.555280664137666 0.719930489469982 1.13985094256905 1.20893048649703 0.440184593539226 0.962949376375642 0.513177350613203 0.486787204450626 0.703807971551341 0.731018441601595 0.683311432325887 0.520156046814044 0.712607080585247 0.723786491622042 0.872267896530981 0.729378148732987 0.58994100589941 0.639872025594881 0.610603290676417
"eu" 0.621443545971848 0.533289350706471 0.182051388141835 0.241122314774222 0.136492151701277 1.19275825346113 0.247615553925165 0.304427241889188 0.3079674150606 0.533412357386279 0.587029960680069 1.22207621550591 0.684118278961949 0.674702448639224 0.875798929003282 0.721876879887708 0.904203323558162 0.999900009999 0.939812037592482 0.208409506398537
"na" 0.576519916142558 0.324371873110122 0.579254416814928 0.734327049539676 0.926196743687238 0.418885339013135 0.807043286867205 0.530573193006871 0.635803695608981 0.644539931841754 0.481807609237415 0.519053876478318 0.661502798665687 0.818740050034114 0.64087061668682 0.591537998796872 0.654184525152267 0.67993200679932 0.639872025594881 0.731261425959781
"uma" 0.232105420784666 0.555280664137666 0.368240307832347 0.679526523454625 0.653212440284684 0.40468583599574 0.577769625825385 0.79151082891189 0.725213590303994 0.537116609868129 0.570415905189123 0.57161629434954 0.797195680443263 0.295656129178986 0.625323890136466 0.671746541006617 0.624107075719979 0.64993500649935 0.539892021595681 0.208409506398537
"ao" 0.681341719077568 0.65973940293584 0.823368778186934 0.230162209557212 0.419225894511066 0.546680866169684 0.641966250917095 0.913281725667565 0.496721637194516 0.659356941769151 0.515035720219306 0.617608409986859 0.735003109628541 0.576150405579562 0.442217999654517 0.370964507720072 0.419204451462516 0.34996500349965 0.459908018396321 0.482632541133455
"meu" 0.351901766996107 0.236406619385343 0.111713351814308 0.361683472161333 0.253485424588086 0.887468938587149 0.339325018341893 0.173958423936679 0.129147625670574 0.151874351755816 0.348895165309852 0.670170827858081 0.661502798665687 0.902130240315366 0.804974952496113 0.792059354321235 0.825250018798406 0.7999200079992 0.769846030793841 0.179159049360146
"me" 0.239592692422881 0.24740227610094 0.161363730398444 0.657606313020605 0.555718046212343 0.7596734114306 0.119222303741746 0.0521875271810037 0.109278760182794 0.162987109201363 0.271362906352107 0.565045992115637 0.32792446429581 0.409370025017057 0.849887718086025 0.82213755764989 0.838408902925032 0.81991800819918 0.789842031593681 0.453382084095064
