"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6" "Reis_1" "Reis_2"
"em" 0.530734343336872 0.541125541125541 0.55946580039704 0.873239436619718 0.90672325648693 0.951620560182987 1.05460279913266 1.0850400108504 1.09626247318388 1.05856747130985 1.06645600868964 1.08470565033034 0.7897141365357 0.870443770886765
"da" 0.936022387339573 0.964187327823691 0.929435120014438 1.01408450704225 0.723449406771487 0.958094169435933 0.758919771338459 0.80021700800217 0.793166564978645 0.929956470122675 0.770218228498074 0.680406271570851 0.757081320976374 0.730551021994249
"eu" 1.02286982534015 1.0133805588351 0.848222342537448 0.78169014084507 0.858493296035497 0.930041862673169 0.936329588014981 0.866094437232373 0.871892774902084 0.821131776810447 0.849214969882492 1.0551227689577 0.208850019579689 0.217610942721691
"os" 0.90707324133938 0.846123573396301 0.739938639234795 1.3943661971831 1.04176714575094 1.11777653100859 0.344963532426572 0.548332719769042 0.52746560648704 0.455085081123862 0.710970672459761 0.41416033921704 1.22699386503067 1.24349110126681
"como" 0.984270964006562 0.993703266430539 1.03771882331709 0.746478873239437 0.675219446320054 0.800569677614259 0.699783165779618 0.736277150219914 0.718376665551379 0.73209339137317 0.602350153056186 0.729711073858594 0.685289126745856 0.652832828165073
"as" 1.02286982534015 0.905155450609996 0.92041147807255 1.11971830985915 0.810263335584065 0.910621034914333 0.354819633353046 0.503768576466257 0.505815898758094 0.534230312623664 0.602350153056186 0.463465141504783 0.854979767654353 0.823812854589259
"no" 0.550033774003667 0.560802833530106 0.595560368164591 0.767605633802817 0.598051509597762 0.627940097535713 0.739207569485512 0.724651721532231 0.722312976047551 0.583696082311041 0.641848523748395 0.769154915688788 0.626550058739068 0.621745550633403
"uma" 0.897423526005983 1.14128295946478 1.13697888467786 0.704225352112676 0.617343493778335 0.671097492555349 0.551941651882515 0.621960434791033 0.604223661162392 0.662841313810843 0.582600967710082 0.591657627452914 0.208850019579689 0.217610942721691
"meu" 0.328090321335521 0.334513970877607 0.297780184082296 0.570422535211268 0.405131667792032 0.511415130982694 0.87719298245614 0.784716436418593 0.801039185970989 0.682627621685793 0.770218228498074 0.966374124839759 0.202323456467824 0.202067303955856
"por" 0.771977226671813 0.836284927194018 0.739938639234795 0.845070422535211 0.704157422590914 0.761728022096586 0.374531835205993 0.497955862122416 0.495975122517664 0.504550850811239 0.57272637503703 0.591657627452914 0.476439107166166 0.47408098235797
"na" 0.424587474669497 0.393545848091303 0.369969319617398 0.514084507042254 0.54982154914633 0.602045660523931 0.473092844470727 0.627773149134874 0.647523076620284 0.761772853185596 0.622099338402291 0.650823390198205 0.717921942305182 0.699463744462579
"para" 1.10006754800733 0.964187327823691 0.947482403898213 0.809859154929577 0.810263335584065 0.850200681886841 0.433668440764833 0.39332700393327 0.401503670609538 0.425405619311437 0.365359928902933 0.404299378759491 0.535178175172954 0.520711898655475
"ser" 0.405288044002702 0.570641479732389 0.532394874571377 0.408450704225352 0.318317738979454 0.461784126710112 0.916617386162034 0.707213578500707 0.728217441791809 0.771666007123071 0.592475560383134 0.660684350655754 0.248009398250881 0.240926400870444
"com" 0.598282350670655 0.472255017709563 0.505323948745714 0.676056338028169 0.694511430500627 0.731517845582841 0.325251330573625 0.443703861579896 0.446771241315515 0.554016620498615 0.394983706922089 0.424021299674588 0.548231301396685 0.520711898655475
