"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Grainville_LaDianeRousse.1978" "Grainville_LesFlamboyants.1976" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Sinibaldi_LHommeLaColombe.1958" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"je" 2.67574725690503 1.92684205458494 1.90581073433365 2.19409588743019 0.59906921477374 2.49932313523758 2.34673362422412 2.37756232060931 0.729249535932114 1.24983412951168 0.918891257036491 0.914216275027907 0.243953835181223 0.131226972189976 0.458125642098855 0.523524144106909 0.468287779973273 1.17551576081265
"que" 1.46651532349603 1.39939445163637 1.69167469676808 1.51954739972438 1.03277552232894 1.46202788682821 1.40470400252847 1.00458788166429 1.09755738236247 1.60562632696391 1.29285862908623 0.503030902488307 0.524379173960967 0.704083177711603 1.08899965754728 1.15726389749948 0.85548182243898 0.947743219185255
"des" 0.968596292092319 0.793846088007789 1.04773704094587 0.910277797925582 1.13674621249629 0.854541762555841 0.745371061341668 0.792144100164983 0.732195998703556 1.07898752653928 1.02405200677078 1.7959333625355 2.12750437658043 1.58734164437491 0.824930558197938 1.11937728180754 1.11817984535082 0.835165985967117
"une" 0.911085887249338 0.866597481517936 0.715826182719222 0.92478421701603 1.1921972472522 1.17774468661162 1.13693230204648 1.15827061721699 1.1270220100769 0.976147823779193 1.13314925515822 1.15584066920066 0.842896972054723 1.53686973199415 1.2412008675469 1.01260591031205 0.783525407467477 0.950361294376375
"en" 1.04578130911843 0.893344317367256 0.925373590908396 0.97374338144629 0.873353797405684 0.959455800731014 1.02631186184736 1.00684792189301 0.994431185361973 0.979465233545648 0.992560017545537 0.787045541252773 0.98878298644881 1.1154292636148 1.11182983904722 0.857615209754081 0.919443080191427 0.926798617656299
"dans" 0.92622020431328 0.695417732082295 0.676058061457043 0.67454848770581 0.924844043964749 0.753012048192771 1.01050894181892 0.998937781092503 0.829429270161172 0.902335456475584 0.76368073871209 1.23214310946574 1.2303053880568 0.89840004037753 0.831018606597922 1.02293862368258 1.06678240608546 0.774950256571369
"pas" 1.29398410896708 1.52029014967529 1.61978616987106 1.33459055632117 0.678284978710763 1.09482875321511 0.718154921292679 1.11984993332881 0.878045905889979 0.477707006369427 0.916641829234688 0.214777239264671 0.302308240938858 0.441629233331651 0.70393059624824 0.571743473169388 0.900026269802291 1.04199392606556
"qu" 0.770336738554673 1.09234077608619 1.3031707428991 0.78153332849786 0.712941875433211 0.734398267226208 0.66108882118996 0.693832350215834 1.01358319337635 0.820229564755839 1.13989753856363 0.343360981192861 0.398755106010504 0.610710139807197 0.791446291998021 0.774953502789833 0.933149063995523 0.845638286731595
"qui" 0.823306848278471 0.978934192085076 1.16092323223053 0.826865888155509 0.894147935439152 0.700555029105185 0.625971221126748 0.709652631816846 0.964966557647544 0.996881634819533 0.949820889311281 0.460640657896596 0.478181936069507 1.13057083732903 0.759484037898101 0.902390301026383 0.722990645666054 0.740915279086815
"est" 1.42262580401059 1.7438936973756 1.46530231419875 1.32733734677595 0.518863253787504 1.05252470556383 0.365223040657401 1.03735846498068 0.866260054804208 0.41384686836518 0.577540588112899 0.408359356233485 0.38335602671335 0.287689900570333 0.529660210798676 0.840394020803196 0.889746781949219 1.29332914441303
"ne" 0.909572455542944 0.987493179556858 0.963612169045106 1.01907594110394 0.564412318051292 1.02037362934886 0.683915261231048 0.77067371799218 0.847108046789829 0.807789278131635 0.74849710104992 0.271297565386952 0.297445373792388 0.474435976379145 0.733609832198166 0.585520424330096 0.722990645666054 0.916326316891821
"elle" 0.422247446083995 1.24319293027635 1.76509276679056 0.255675636469138 0.992177443311219 0.544876133748477 0.862137081551847 0.392116979682238 0.517104216388226 0.431263269639066 0.453822059013738 0.802588630936401 0.136970757958893 1.45863826780397 0.581408622198546 0.234208169732038 1.21183740134547 1.80908995706357
"du" 0.561483163072266 0.491071906193497 0.414506187001943 0.612896206571408 0.898108723636004 0.577027209963449 0.577684521039832 0.518679232490338 0.718936916232063 0.667628715498938 0.593286582725519 0.99899676421133 1.02930687933606 0.865593297330036 0.82797458239793 0.857615209754081 1.02109579340514 0.617865745104199
"se" 0.511539916761256 0.53493671698638 0.558283240795974 0.429752665554508 0.812951777403703 0.521185867063761 0.462674380832814 0.705132551359414 0.873626211732815 0.701632165605096 0.732188749486849 0.610419522120643 0.813719769175906 1.0422449906627 1.12324492979719 0.688847558035407 0.759539935810309 0.691171850455545
"était" 0.570563753310632 0.93399950785822 1.16704140473241 0.629215928048161 0.891177344291514 0.582103695681603 0.589975681061956 0.68479218930097 0.745455081175049 0.682557059447983 0.886274553910349 0.446510576366026 0.477371458211762 0.557714631807399 0.362238879799094 0.368533443548943 0.43059632451201 0.489580060739344
"pour" 0.856602345819145 0.899763557971092 1.00949846280916 0.899397983607746 0.576294682641846 0.651482333829701 0.63211680113781 0.550319795692363 0.671793511888977 0.637772027600849 0.80248336829319 0.284014638764466 0.253679569474162 0.312925856760713 0.413226285148967 0.544189570847971 0.585930807625096 0.636192271442036
"s" 0.417707150964813 0.679369630572703 0.558283240795974 0.418872851236672 0.562431923952867 0.397658047922025 0.388927420700069 0.588740479580537 0.608444562302955 0.539079087048832 0.58653829932011 0.640092693334841 0.765901575568955 0.855498914853884 0.911685247897721 0.595853137700627 0.695578678057862 0.709498376793381
"n" 0.799091940976163 0.993912420160695 0.870310038391532 0.948357148038007 0.542627982968611 0.683633410044673 0.626849161128328 0.549189775578005 0.727776304546392 0.527468152866242 0.708007400617468 0.235972361560526 0.273941515917785 0.320496643617827 0.372892964499068 0.547633808638148 0.598494626112184 0.633574196250916
"ce" 0.626560726447219 0.714675453893804 0.63017176769299 0.67454848770581 0.605010397069017 0.739474752944362 0.63036092113465 0.561619996835944 0.78670555997525 0.655188428874735 0.750746528851723 0.432380494835455 0.399565583868249 0.403775299046081 0.4398614968989 0.599297375490804 0.360924240174523 0.489580060739344
