"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"só" 0.637044115304985 0.672631903733416 0.533617929562433 0.301820428727601 0.302957825081719 0.291812572953143 0.385375494071146 0.376498563360745 0.519098922624878 0.517583664208735 0.563074187493826 0.516665506923666 0.477150537634409 0.468055230517201
"ou" 0.398152572065616 0.357914224004937 0.32017075773746 0.337468510860782 0.199314358606394 0.391862597965649 0.50395256916996 0.396314277221837 0.39177277179236 0.533536585365854 0.602588165563568 0.563635098462181 0.571236559139785 0.561666276620641
"vida" 0.183150183150183 0.265350200555384 0.183801731293727 0.470554684157992 0.438491588934067 0.466900116725029 0.592885375494071 0.48548498959675 0.303623898139079 0.411230856494611 0.46428924231947 0.450560155869459 0.994623655913978 0.873703096965442
"nem" 0.501672240802676 0.481332921937674 0.486185224712439 0.270925424212177 0.135533763852348 0.350175087543772 0.444664031620553 0.525116417318934 0.421155729676787 0.508720930232558 0.632223649115875 0.485352445897989 0.598118279569892 0.600670879163741
"mim" 0.41407867494824 0.388768898488121 0.385390726906202 0.499073149864537 0.629833373196205 0.441887610471903 0.523715415019763 0.465669275735658 0.489715964740451 0.499858196256381 0.375382791662551 0.507967434416533 0.168010752688172 0.16381933068102
"nada" 0.230928491798057 0.302375809935205 0.284596229099964 0.287561195874329 0.191341784262138 0.175087543771886 0.454545454545455 0.634102843554939 0.49951028403526 0.508720930232558 0.513681714906648 0.535801266439357 0.672043010752688 0.678680084249942
"minha" 0.613154960981048 0.536871336007405 0.551405193881181 0.451542373686962 0.574025352786415 0.450225112556278 0.365612648221344 0.366590706430199 0.489715964740451 0.443136698808849 0.454410747802035 0.426205552849489 0.100806451612903 0.12481472813792
"ao" 0.31055900621118 0.308546744831842 0.326099845843709 0.49432007224678 0.613888224507694 0.458562614640654 0.474308300395257 0.346774992569107 0.430950048971596 0.420093590470788 0.414896769732293 0.420986709345209 0.490591397849462 0.460254310008581
"há" 0.366300366300366 0.407281703178031 0.361674374481205 0.327962355625267 0.215259507294906 0.341837585459396 0.424901185770751 0.435945704944021 0.538687561214496 0.499858196256381 0.484046231354342 0.499269361909401 0.161290322580645 0.16381933068102
"mais" 0.549450549450549 0.610922554767047 0.539547017668683 0.36123389894957 0.294985250737463 0.391862597965649 0.464426877470356 0.237788566333102 0.244857982370225 0.296015314804311 0.256840857453324 0.311390995755341 0.745967741935484 0.748888368827522
"sei" 0.437967829272177 0.394939833384758 0.385390726906202 0.213888492799087 0.191341784262138 0.225112556278139 0.227272727272727 0.336867135638561 0.714985308521058 0.480360181508792 0.46428924231947 0.492310903903695 0.147849462365591 0.1560184101724
"alma" 0.135371874502309 0.154273372415921 0.154156290762481 0.301820428727601 0.294985250737463 0.333500083375021 0.217391304347826 0.505300703457842 0.49951028403526 0.508720930232558 0.582831176528697 0.527103193932225 0.168010752688172 0.14821748966378
"sou" 0.294632903328556 0.2344955260722 0.254950788568718 0.278055040638814 0.127561189508092 0.183425045856261 0.41501976284585 0.495392846527296 0.284035259549461 0.485677821894498 0.582831176528697 0.469695915385151 0.0739247311827957 0.0624073640689601
