"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"na" 0.569147756670855 0.318694971101388 0.572316245605429 0.433540250270963 0.374765771392879 0.558221525805504 0.758492697490519 0.482036120573302 0.736488681901874 0.912847122129336 0.412616266871809 0.806597788653254 0.530367835757057 0.623660105242643 0.637082601054482 0.475513773502405 0.513610683102208 0.653522983140205 0.720063128822253 0.594294770206022 0.464472773989525 0.707616707616708 0.703736742987412
"uma" 0.229137408529825 0.545562577648139 0.363829613277737 0.798108187998818 1.06183635227983 0.568014885907355 0.758492697490519 0.629860530882447 0.671504386439944 0.643797444028058 0.39862927477446 0.570962479608483 0.778443113772455 0.711362307542389 0.530902167545401 0.562964582422387 0.558551617873652 0.774342358174529 0.66087985796015 0.574484944532488 0.672003162367823 0.540540540540541 0.218059272474973
"ao" 0.672629166974647 0.648193161562146 0.813506663396288 0.39412750024633 0.28107432854466 0.450494564685143 0.548696844993141 0.488463268847612 0.227445034116755 0.413183434226963 0.538499195747954 0.634402755120537 0.898203592814371 0.487234457220815 0.651728178090217 0.508307826847398 0.603492552645095 0.713932670657367 0.434010652988755 0.455625990491284 0.375531178970254 0.373464373464373 0.485677470512439
"com" 0.480449404981891 0.275482093663912 0.404709345106696 0.620750812887969 0.468457214241099 0.636568406620311 0.782699911240216 0.739122051545729 0.368244340950937 0.201787258575959 0.188824393314218 0.398767446075766 0.513259195893926 0.711362307542389 0.41373755125952 0.344337560122431 0.61633281972265 0.593113295623044 0.374827382126652 0.574484944532488 0.464472773989525 0.334152334152334 0.535236396074933
"d" 1.30830068741223 0.167449900070221 0.0981113563895021 0 0 0 0 0.00642714827431069 0 0 0.349674802433737 1.54069240529273 1.12061591103507 0.896511401286299 1.03617457527827 1.05487538259729 0.75115562403698 0.719424460431655 0.0197277569540343 0.00990491283676704 0.0296471983397569 0.0393120393120393 0
"por" 0.768719047971025 0.334899800140442 0.22075055187638 0.709429500443393 0.827607745159275 0.803055528351778 0.911805051238602 0.642714827431069 0.205783602296112 0.317094263476506 0.38464228267711 0.199383723037883 0.367835757057314 0.399532254921068 0.292911540714704 0.338871884564932 0.507190549563431 0.444834971717283 0.59183270862103 0.386291600633914 0.504002371775867 0.501228501228501 0.485677470512439
"mais" 0.317835760218789 0.351104629179495 0.519172594227782 0.463099812789437 0.687070580886946 0.401527764175889 0.363108206245461 0.334211710264156 0.509043647785119 0.432401268377054 0.482551227358557 0.453144825086097 0.290846877673225 0.331319430910154 0.457674282366725 0.69960647135986 0.552131484334874 0.565654346751606 0.295916354310515 0.316957210776545 0.365648779523668 0.235872235872236 0.792942808999901
"para" 0.221745879222411 0.183654729109275 0.183958793230316 0.965612375603508 1.06183635227983 0.685535207129566 1.01670297748729 0.777684941191593 0.758150113722517 0.230614009801095 0.25176585775229 0.244698205546493 0.513259195893926 0.60417072695381 0.248974809607499 0.174901617839965 0.365947611710324 0.477785710363007 0.394555139080687 0.445721077654517 0.405178377310011 0.402948402948403 0.545148181187432
"dos" 0.561756227363442 0.388915896937287 0.445589076935655 0.374421125234013 0.296689569019363 0.41132112427774 0.419591704994755 0.74554919982004 0.227445034116755 0.393965600076871 0.356668298482411 0.32626427406199 0.248075278015398 0.34106412005457 0.80916813122437 0.60122431132488 0.423728813559322 0.362458125102971 0.167685934109292 0.198098256735341 0.118588793359028 0.157248157248157 0.455942115174943
"meu" 0.347401877448444 0.232269216226435 0.11037527593819 0.315302000197064 0.343535290443473 0.41132112427774 0.508351488743646 0.520599010219166 0.357413625040615 0.249831843951187 0.874187006084342 0.335327170563712 0.171086398631309 0.126680958877412 0.150117164616286 0.344337560122431 0.654853620955316 0.642539403591631 0.789110278161373 0.693343898573692 0.968475145765392 0.845208845208845 0.198235702249975
"mas" 0.14043905684086 0.286285313023281 0.327037854631674 0.640457187900286 0.874453466583385 0.460287924786994 0.387315419995159 0.347066006812777 0.888118704646377 0.586143941577784 0.167843905168194 0.679717237629146 0.18819503849444 0.194893782888326 0.263620386643234 0.306077831219939 0.481510015408321 0.532703608105882 0.651015979483133 0.584389857369255 0.523767170669038 0.471744471744472 0.406383189612449
"sem" 0.25870352575948 0.140441851671798 0.130815141852669 0.325155187703222 0.390381011867583 0.421114484379591 0.56483498749294 0.199241596503631 0.530705079605762 0.4420101854521 0.209804881460242 0.435019032082654 0.256629597946963 0.380042876632235 0.311218512009373 0.306077831219939 0.276065742167437 0.280081278488659 0.641152101006116 0.713153724247227 0.751062357940508 0.56019656019656 0.327088908712459
"das" 0.450883287752236 0.248474045265489 0.298422042351402 0.374421125234013 0.374765771392879 0.430907844481442 0.427660776244654 0.610579086059515 0.25993718184772 0.182569424425867 0.174837401216868 0.226572412543049 0.28229255774166 0.253361917754824 0.600468658465144 0.573895933537385 0.276065742167437 0.362458125102971 0.13809429867824 0.287242472266244 0.118588793359028 0.176904176904177 0.327088908712459
"te" 0.391751053292926 0.432128774374764 0.286158122802714 0.197063750123165 0.156152404747033 0.215453922240721 0.137174211248285 0.231377337875185 0.38990577277158 0.701450946478332 0.622421148332051 0.262823998549937 0.265183917878529 0.175404404599493 0.380785002929115 0.327940533449934 0.622752953261428 0.302048437585809 0.286052475833498 0.227812995245642 0.187765589485127 0.157248157248157 0.465853900287442
"vida" 0.480449404981891 0.345703019499811 0.298422042351402 0.157651000098532 0.265459088069956 0.41132112427774 0.524489631243444 0.404910341281573 0.205783602296112 0.192178341500913 0.38464228267711 0.271886895051659 0.0855431993156544 0.0877022022997466 0.102519039250146 0.158504591167468 0.199024139702106 0.148278323905761 0.572104951666995 0.326862123613312 0.464472773989525 0.461916461916462 0.931707800574884
"minha" 0.273486584374307 0.23767082590612 0.0899354100237102 0.522218937826387 0.655840099937539 0.323180883361081 0.379246348745259 0.578443344687962 0.249106465937398 0.163351590275776 0.573466675991328 0.199383723037883 0.0684345594525235 0.116936269732996 0.109841827768014 0.191298644512462 0.507190549563431 0.356966335328684 0.45373840994279 0.495245641838352 0.38541357841684 0.461916461916462 0.118941421349985
"á" 0.694803754896888 0.518554529249716 0.576404218788325 0.0197063750123165 0 0 0 0.0964072241146603 0 0.0288267512251369 0 0.444081928584376 0.48759623609923 0.380042876632235 0.582161687170475 0.404459991254919 0.558551617873652 0.604096875171618 0 0 0 0 0
"quem" 0.155222115455688 0.145843461351483 0.159430954132941 0.266036062666273 0.437226733291693 0.323180883361081 0.298555636246268 0.218523041326563 0.0541535795516084 0.0384356683001826 0.39862927477446 0.244698205546493 0.307955517536356 0.107191580588579 0.227006444053896 0.311543506777438 0.29532614278377 0.170245483002911 0.493193923850858 0.475435816164818 0.909180749085878 0.864864864864865 0.515412825849936
"ó" 0.0073915293074137 0.162048290390536 0.0572316245605429 0 0 0.421114484379591 0.145243282498184 0.392056044732952 0.0433228636412867 0.0672624195253195 0.286733337995664 0 0.29940119760479 0.253361917754824 0.633421206795548 0.606689986882379 0.654853620955316 1.04344005711461 0.0887749062931545 0.0693343898573693 0.0988239944658563 0.216216216216216 0.0495589255624938
