"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Drummond_2" 1.29729552857523 0.947647801367821 1.0110210251381 1.14725826764092 1.1925676732606 0.946114028859898 0.972154514851409 1.01587809496503 1.00834009317038 0.538136325225222 0 1.1572432476582 0.943173825692525 1.05922919099591 0.957874737008971 1.06981460426308 1.0684816462456 1.06294765110403 1.0555660830672 1.16724532552538 1.17153232829853 1.20605728776999 1.16622970278461 1.07844612827996 1.02156927953441
"Espanca" 1.24742622650111 0.986565181346493 1.23128467409812 1.10436667300573 1.27397912188195 1.01784280495735 1.02496159741624 1.17904292445908 1.03783122489501 1.17578585050451 1.1572432476582 0 1.20886753486886 1.30112710337495 1.28626511787017 1.2747041605096 1.17132388308394 0.940237008558272 1.05618669947803 0.971362754116502 1.22584911496414 1.16491192872287 1.12422038052782 1.09729960040565 1.25261799123727
"Feijó" 1.07874577655612 0.866568920197935 0.824702341278274 1.21976073395421 1.27174570744605 1.11139540211678 1.20210546225437 1.19135271410311 1.19778475420505 0.934372624727064 0.943173825692525 1.20886753486886 0 0.95059307527831 0.97927652022593 0.9080957988713 0.962118263869739 1.08938681341852 0.985433386138639 1.00712494009543 1.30659878119329 1.32103274986198 1.26863057128158 1.13339656238414 1.13589230361671
"Junqueiro_1" 0.887311430891365 0.778549359176488 0.73495723702326 1.29183833062301 1.41249287076 1.12420075476924 1.14711790347117 1.2352930951835 1.20493402148539 1.14917423886655 1.05922919099591 1.30112710337495 0.95059307527831 0 0.552705199228563 0.764286718273988 0.869085572895083 1.10176657665614 0.847865099477537 1.0978322604709 1.47306608061078 1.45830187281934 1.40329502544014 1.25773856008965 1.14937511619543
"Junqueiro_2" 1.04794940662236 0.871670930649115 0.802430058948462 1.18155250859204 1.34538462419538 1.02721064973792 1.07800786933494 1.07413196839381 1.10458053119729 1.04445461077276 0.957874737008971 1.28626511787017 0.97927652022593 0.552705199228563 0 0.806802780867047 0.829242103404541 1.02085303355035 0.76215911013733 1.13670902415113 1.38993429099582 1.34236321362776 1.31032739491876 1.16331957087395 1.1197940975013
"Leal_1" 0.95047323442293 0.808369716120246 0.72351591730715 1.32932408185215 1.35632736585902 1.07031044060527 1.30379722157435 1.26312270138579 1.27300198230267 1.19510075449463 1.06981460426308 1.2747041605096 0.9080957988713 0.764286718273988 0.806802780867047 0 0.536588532105453 0.987419993244446 0.893557400201788 1.022172012034 1.4907222596525 1.45874201922972 1.50106414205007 1.29922594424715 1.1068864162832
"Leal_2" 0.979543404830616 0.842148959673685 0.832604261534005 1.24083438045497 1.32215384602926 1.03997089804672 1.3184160802834 1.2852326112723 1.27457809943712 1.1303482438537 1.0684816462456 1.17132388308394 0.962118263869739 0.869085572895083 0.829242103404541 0.536588532105453 0 0.840938890272494 0.743962812233688 1.0209903656764 1.42174139154662 1.39003609584928 1.36493104350385 1.29552675659706 1.10665317751493
"Nobre_1" 1.17868750734648 0.936937548620606 1.05330588727921 1.10679368258424 1.30831413180512 0.992978863630522 1.11735651141393 1.13635134553093 1.10093705850585 1.0997284024164 1.06294765110403 0.940237008558272 1.08938681341852 1.10176657665614 1.02085303355035 0.987419993244446 0.840938890272494 0 0.602258444775021 1.08270221264924 1.23517568372001 1.29486969946488 1.22668566362255 1.11748828499447 1.17213658996378
"Nobre_2" 0.989024144409967 0.860028062077021 0.841795367209527 1.09243759224212 1.28123565792592 0.967242893374265 1.10530407510941 1.04497676520289 1.10859574525406 1.04797417348763 1.0555660830672 1.05618669947803 0.985433386138639 0.847865099477537 0.76215911013733 0.893557400201788 0.743962812233688 0.602258444775021 0 1.03938206560057 1.31467654522994 1.32666039608457 1.23580381721798 1.0938242171872 1.07723603897461
"Pascoaes" 1.02835170128646 0.898586340322855 0.997384456833724 1.43826562323474 1.53515820216663 1.19120189776113 1.33277436704027 1.40176455481099 1.33160213439314 1.09912009647034 1.16724532552538 0.971362754116502 1.00712494009543 1.0978322604709 1.13670902415113 1.022172012034 1.0209903656764 1.08270221264924 1.03938206560057 0 1.48684596467103 1.37420026480364 1.40871234894164 1.27319317722531 1.34966080574246
