"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"no" 0.561078846343144 0.625586487331874 0.730806296177321 0.667381718507925 0.451910796738383 0.731948565776459 0.720276270350271 0.596752103306594 0.766584766584767 0.614530676974923
"uma" 0.817009548183876 1.03221770409759 0.690652104079666 0.661422953164104 0.687690342862757 0.593471810089021 0.513073507646769 0.655449031500685 0.737100737100737 0.218059272474973
"por" 0.728418151392854 0.797622771348139 0.931577256665596 0.649505422476463 0.776107672659397 0.494559841740851 0.384805130735076 0.655449031500685 0.402948402948403 0.485677470512439
"na" 0.413426518358106 0.406631216765718 0.730806296177321 0.47074246216184 0.687690342862757 0.731948565776459 0.601874691662555 0.586969281940912 0.619164619164619 0.703736742987412
"com" 0.590609311940152 0.516108852048796 0.770960488274976 0.709093075914671 0.717162786128303 0.395647873392681 0.3749383325111 0.518489532381139 0.57002457002457 0.535236396074933
"ser" 0.492174426616793 0.390991554582421 0.522004497269515 0.434989870098915 0.510855683269476 0.791295746785361 0.769610261470153 0.547837996478184 0.756756756756757 0.257706412924968
"meu" 0.305148144502412 0.359712230215827 0.690652104079666 0.417113574067453 0.392965910207289 0.692383778437191 0.809077454366058 0.616317746037957 0.874692874692875 0.198235702249975
"tudo" 0.28546116743774 0.29715358148264 0.714744619338259 0.691216779883208 0.668042047352392 0.504451038575668 0.522940305870745 0.440226961455684 0.412776412776413 0.346912478937457
"mas" 0.777635594054533 0.656865811698467 0.393511082557019 0.339649624597783 0.559976422045388 0.524233432245302 0.582141095214603 0.410878497358638 0.648648648648649 0.406383189612449
"sem" 0.374052564228763 0.312793243665937 0.457757789913267 0.321773328566321 0.314372728165832 0.731948565776459 0.582141095214603 0.528272353746821 0.697788697788698 0.327088908712459
"mim" 0.45280047248745 0.250234594932749 0.546097012528108 0.524371350256227 0.48138324000393 0.445103857566766 0.522940305870745 0.479358246918411 0.530712530712531 0.178412132024978
