"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"os" 0.87503959455179 0.77755905511811 0.99282414233756 1.17611351392367 1.10995913886687 1.12998416582698 0.460107684777288 0.503008186211658 0.541765169424744 0.543861021989201 0.531516557380043 1.3044337571645 1.27786248457126
"como" 0.989863794741843 1.03346456692913 1.1894229824044 0.660141133621671 0.733874082657397 0.885274219087376 0.558002936857562 0.611500147943584 0.8274231678487 0.719931137021676 0.745219090759649 0.6126885829106 0.667973571480433
"as" 1.00174216027875 0.836614173228346 1.1894229824044 0.857424690795963 0.961558008578805 1.04361594933065 0.56779246206559 0.552322714271624 0.423561859732072 0.545817356600673 0.502292279311038 0.836682258383293 0.878530458142743
"no" 0.570161545771302 0.531496062992126 0.570136636193846 0.591850671522877 0.6281636884796 0.690945731970635 0.646108663729809 0.759443732123484 0.689519306540583 0.716018467798732 0.715994812690643 0.632452730746426 0.61714949538953
"uma" 1.00966107063668 1.14173228346457 0.963334316327534 0.751195083086729 0.640361041653961 0.662156326471858 0.518844836025453 0.512871091823651 0.738770685579196 0.64363408717427 0.610056804690497 0.184465379801041 0.21055688666231
"para" 1.01362052581565 0.964566929133858 0.884694780300796 1.00159344411564 0.827387123660832 0.777313948466964 0.313264806656877 0.424104941315712 0.305358550039401 0.403004929963221 0.412792927724707 0.586336385796166 0.551804254701227
"por" 0.756255939182768 0.767716535433071 0.756905534257348 0.87260034904014 0.754203004614665 0.611774866849 0.450318159569261 0.641088864779564 0.364460204885737 0.491039987479458 0.494986209793786 0.487515646617037 0.450156102519422
"na" 0.411783338612607 0.383858267716535 0.304728202103608 0.62220198801123 0.58953873676079 0.511011947603282 0.655898188937836 0.650951770391557 0.591016548463357 0.637765083339854 0.626495461104312 0.652216878582252 0.726058229870036
"meu" 0.312796959138423 0.246062992125984 0.334218028113634 0.561499355034525 0.487894126974447 0.424643731106953 0.851688693098385 0.89752441069139 0.630417651694247 0.79427185225761 0.81645326855285 0.19105342907965 0.21055688666231
"ser" 0.494931897370922 0.561023622047244 0.462007274157082 0.37180362698232 0.475696773800085 0.417446379732259 0.822320117474302 0.680540487227537 0.679669030732861 0.698411456295485 0.708688743173391 0.250345872587127 0.297683874246715
"com" 0.566202090592335 0.46259842519685 0.481667158163767 0.660141133621671 0.729808298265943 0.77011659709227 0.342633382280959 0.660814676003551 0.394011032308905 0.453869629861491 0.429231584138523 0.507279794452863 0.522761925506426
"mas" 0.756255939182768 0.846456692913386 0.747075592254006 0.386979285226497 0.41471000792828 0.381459622858788 0.587371512481645 0.581911431107604 0.581166272655634 0.520385006651538 0.540649144276608 0.421635153830951 0.428374355623321
"sem" 0.384067152359835 0.442913385826772 0.412857564140372 0.485621063813643 0.369986379622289 0.287894054987764 0.636319138521782 0.739717920899497 0.620567375886525 0.618201737225135 0.642934117518128 0.355754661044865 0.333986785740216
"tudo" 0.31675641431739 0.265748031496063 0.235918608080212 0.637377646255406 0.735906974853124 0.590182812724917 0.489476260401371 0.512871091823651 0.462962962962963 0.467563972141795 0.467588449104093 0.349166611766256 0.370289697233718
