"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Sinibaldi_LHommeLaColombe.1958"
"que" 1.46651532349603 1.39939445163637 1.69167469676808 1.51954739972438 1.03277552232894 1.46202788682821 1.40470400252847 1.00458788166429 1.09755738236247 1.60562632696391 1.29285862908623 1.15726389749948
"d" 1.22587968217934 0.771378745894361 0.671469432080637 1.2529919489374 1.4397465095554 1.36388249627724 1.36256288245261 0.936786674802812 1.37747134564955 1.42731555201699 1.30523048199614 1.16759661087001
"une" 0.911085887249338 0.866597481517936 0.715826182719222 0.92478421701603 1.1921972472522 1.17774468661162 1.13693230204648 1.15827061721699 1.1270220100769 0.976147823779193 1.13314925515822 1.01260591031205
"pas" 1.29398410896708 1.52029014967529 1.61978616987106 1.33459055632117 0.678284978710763 1.09482875321511 0.718154921292679 1.11984993332881 0.878045905889979 0.477707006369427 0.916641829234688 0.571743473169388
"en" 1.04578130911843 0.893344317367256 0.925373590908396 0.97374338144629 0.873353797405684 0.959455800731014 1.02631186184736 1.00684792189301 0.994431185361973 0.979465233545648 0.992560017545537 0.857615209754081
"des" 0.968596292092319 0.793846088007789 1.04773704094587 0.910277797925582 1.13674621249629 0.854541762555841 0.745371061341668 0.792144100164983 0.732195998703556 1.07898752653928 1.02405200677078 1.11937728180754
"qu" 0.770336738554673 1.09234077608619 1.3031707428991 0.78153332849786 0.712941875433211 0.734398267226208 0.66108882118996 0.693832350215834 1.01358319337635 0.820229564755839 1.13989753856363 0.774953502789833
"qui" 0.823306848278471 0.978934192085076 1.16092323223053 0.826865888155509 0.894147935439152 0.700555029105185 0.625971221126748 0.709652631816846 0.964966557647544 0.996881634819533 0.949820889311281 0.902390301026383
"est" 1.42262580401059 1.7438936973756 1.46530231419875 1.32733734677595 0.518863253787504 1.05252470556383 0.365223040657401 1.03735846498068 0.866260054804208 0.41384686836518 0.577540588112899 0.840394020803196
"dans" 0.92622020431328 0.695417732082295 0.676058061457043 0.67454848770581 0.924844043964749 0.753012048192771 1.01050894181892 0.998937781092503 0.829429270161172 0.902335456475584 0.76368073871209 1.02293862368258
"ne" 0.909572455542944 0.987493179556858 0.963612169045106 1.01907594110394 0.564412318051292 1.02037362934886 0.683915261231048 0.77067371799218 0.847108046789829 0.807789278131635 0.74849710104992 0.585520424330096
"était" 0.570563753310632 0.93399950785822 1.16704140473241 0.629215928048161 0.891177344291514 0.582103695681603 0.589975681061956 0.68479218930097 0.745455081175049 0.682557059447983 0.886274553910349 0.368533443548943
"pour" 0.856602345819145 0.899763557971092 1.00949846280916 0.899397983607746 0.576294682641846 0.651482333829701 0.63211680113781 0.550319795692363 0.671793511888977 0.637772027600849 0.80248336829319 0.544189570847971
"n" 0.799091940976163 0.993912420160695 0.870310038391532 0.948357148038007 0.542627982968611 0.683633410044673 0.626849161128328 0.549189775578005 0.727776304546392 0.527468152866242 0.708007400617468 0.547633808638148
"elle" 0.422247446083995 1.24319293027635 1.76509276679056 0.255675636469138 0.992177443311219 0.544876133748477 0.862137081551847 0.392116979682238 0.517104216388226 0.431263269639066 0.453822059013738 0.234208169732038
"ce" 0.626560726447219 0.714675453893804 0.63017176769299 0.67454848770581 0.605010397069017 0.739474752944362 0.63036092113465 0.561619996835944 0.78670555997525 0.655188428874735 0.750746528851723 0.599297375490804
"j" 1.18804388951949 1.19932811948347 1.3658820110433 1.10430115326032 0.207941380334687 0.819006362528767 0.855991501540785 0.663321807128167 0.244556410029759 0.442874203821656 0.309296322747901 0.151546462767789
"avait" 0.339008702232312 0.69755747895024 1.02479389406384 0.573003554072677 0.883255767897812 0.485650467036686 0.489012580880223 0.595520600266685 0.727776304546392 0.6286491507431 0.818791719856262 0.306537163325756
"c" 1.07150964812713 1.36943799548513 1.18998455161443 0.86675854065424 0.460441627883949 0.715784486259645 0.23967762043142 0.75372341627681 0.642328884174548 0.273686305732484 0.461132699369598 0.437418199352483
"se" 0.511539916761256 0.53493671698638 0.558283240795974 0.429752665554508 0.812951777403703 0.521185867063761 0.462674380832814 0.705132551359414 0.873626211732815 0.701632165605096 0.732188749486849 0.688847558035407
"du" 0.561483163072266 0.491071906193497 0.414506187001943 0.612896206571408 0.898108723636004 0.577027209963449 0.577684521039832 0.518679232490338 0.718936916232063 0.667628715498938 0.593286582725519 0.857615209754081
"me" 1.00491865304578 0.630155452609956 0.619464965814711 0.796039747588308 0.122784434102386 0.849465276837688 1.10971616199749 0.88028566908491 0.175314534900852 0.591328290870488 0.273867834869505 0.168767651718675
"vous" 0.691638289822172 0.745701783479014 0.599580905183622 0.636469137593385 0.70898108723636 0.707323676729389 0.188757100339763 0.744683255361945 0.770500014732314 0.149283439490446 0.698447332459806 0.382310394709651
"a" 0.653802497162316 1.4807048326183 1.38270698542345 0.728947559294988 0.351519952470542 0.605793962366319 0.245823200442482 0.535629534205709 0.437549721559268 0.198215233545648 0.324479960410071 0.433973961562306
"s" 0.417707150964813 0.679369630572703 0.558283240795974 0.418872851236672 0.562431923952867 0.397658047922025 0.388927420700069 0.588740479580537 0.608444562302955 0.539079087048832 0.58653829932011 0.595853137700627
"plus" 0.420734014377601 0.570242540307482 0.691353492711727 0.502284761006745 0.479255371818992 0.595640990930012 0.543444860978201 0.346916175107917 0.53183653024544 0.626990445859873 0.54773566973901 0.44086243714266
"avec" 0.794551645856981 0.439717981362805 0.524633292035669 0.388046710669471 0.447569066244183 0.465344524164072 0.596999201074599 0.476868488259091 0.548042075488376 0.388136942675159 0.618030288545351 0.506302955156024
"au" 0.600832387438517 0.407621778343622 0.318144970097432 0.475085225212156 0.589167244281612 0.548260457560579 0.529397820952916 0.496078830203178 0.543622381331212 0.500099522292994 0.540987386333601 0.62685127781222
"on" 0.699205448354143 0.885855203329446 0.813716942749201 0.514977877710887 0.250519853450837 0.434885609855151 0.266893760480409 0.497208850317536 0.503845133916733 0.447850318471338 0.481939906536275 0.423641248191775
"mais" 0.617480136208854 0.591640008986937 0.720414812095627 0.591136577935737 0.483216160015843 0.489034790848788 0.400340640720613 0.463308246886795 0.493532514216683 0.371549893842887 0.502747113702952 0.365089205758766
"sur" 0.375331063185774 0.400132664305813 0.276847305709784 0.268368753173279 0.554510347559164 0.392581562203872 0.625093281125168 0.52319931294777 0.467014349273697 0.453655785562633 0.567418163004786 0.557966522008679
"lui" 0.278471433976542 0.572382287175427 0.501690145153643 0.340900848625517 0.451529854441034 0.267361581156085 0.29937754053888 0.412457341740683 0.589292554288577 0.339205148619958 0.643336351315634 0.447750912723014
"y" 0.599318955732123 0.664391402497085 0.604169534560027 0.591136577935737 0.370333696405585 0.507648571815351 0.291476080524657 0.435057744027844 0.44933557264504 0.277003715498938 0.37790387070289 0.275539023214163
"son" 0.227014755959137 0.30598380211621 0.327322228850242 0.282875172263727 0.59906921477374 0.314742114525518 0.322203980579967 0.416977422198115 0.556881463802705 0.451167728237792 0.527490819522784 0.599297375490804
"tout" 0.541808550889141 0.465394943778151 0.538399180164885 0.35722057010227 0.339637587879988 0.358738324082848 0.381025960685847 0.531109453748277 0.474380506202304 0.257928609341826 0.413332358581286 0.382310394709651
"ai" 0.729474082482028 1.02493874974591 0.954434910292296 0.669108580546892 0.172294286563026 0.367199133613104 0.290598140523077 0.273464867674645 0.220984707858216 0.134355095541401 0.194575504855952 0.110215609285665
"m" 0.451002648505486 0.493211653061443 0.489453800149895 0.504098063393051 0.247549262303198 0.502572086097198 0.63211680113781 0.481388568716523 0.106072659771944 0.315983280254777 0.186702507549642 0.0757732313838947
"nous" 0.233068482784714 0.177598990039478 0.208017865063705 0.203089867266265 0.23764729181107 0.392581562203872 0.476721420858099 0.557099916378512 0.269601343587024 0.506734341825902 0.344724810626297 0.520079906316732
"ça" 0.581157775255392 0.786356973969979 0.839719175882164 0.475085225212156 0.108921675413407 0.421348314606742 0.0825263601485474 0.475738468144733 0.346209375644539 0.0240512208067941 0.25474769855418 0.2548735964731
"par" 0.334468407113129 0.192577218115097 0.180486088805274 0.389860013055777 0.330725814437073 0.307973466901313 0.372246560670044 0.290415169390015 0.30643212823006 0.463608014861996 0.408271146027229 0.396087345870359
"mon" 0.422247446083995 0.240721522643871 0.226372382569327 0.487778341916298 0.104960887216556 0.49072695275484 0.604900661088821 0.409067281397609 0.11196558531483 0.66348195329087 0.104598392783836 0.18598884066956
"comme" 0.378357926598562 0.527447602948571 0.624053595191116 0.349967360557046 0.274284582631944 0.28935968593475 0.247579080445642 0.318665672248966 0.321164442087274 0.250464437367304 0.299736254590239 0.22043121857133
